title,ingredients,instructions,cook_time,servings,source,url
Syrian Spaghetti,16 ounces Spaghetti | 8 ounces Tomato Sauce | 6 oz Tomato Puree | 1 teaspoon Cinnamon | 1/4 cup Vegetable Oil | Dash Salt | Dash Pepper,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish. Bring a large pot of lightly salted water to a boil. Add spaghetti and cook for 8 to 10 minutes or until al dente; drain and stir in tomato sauce, tomato paste, cinnamon, oil, salt and pepper. Transfer to prepared dish. Bake in preheated oven for 1 hour, or until top is crunchy.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/5fu4ew1760524857.jpg
Venetian Duck Ragu,1 tbls Olive Oil | 4 Duck Legs | 2 finely chopped Onions | 2 cloves minced Garlic | 2 tsp ground Cinnamon | 2 tsp Plain Flour | 250ml Red Wine | 800g Chopped Tomatoes | 1 Chicken Stock Cube | 3 sprigs Rosemary | 2 Bay Leaves | 1 tsp Sugar | 2 tbs Milk | 600g Paccheri Pasta | Grated Parmesan Cheese,"Heat the oil in a large pan. Add the duck legs and brown on all sides for about 10 mins. Remove to a plate and set aside. Add the onions to the pan and cook for 5 mins until softened. Add the garlic and cook for a further 1 min, then stir in the cinnamon and flour and cook for a further min. Return the duck to the pan, add the wine, tomatoes, stock, herbs, sugar and seasoning. Bring to a simmer, then lower the heat, cover with a lid and cook for 2 hrs, stirring every now and then. Carefully lif",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/qvrwpt1511181864.jpg
Bubble & Squeak,1 tbs Butter | 4 Bacon | 1 finely sliced Onion | 1 chopped Garlic Clove | 20 Brussels Sprouts | 400g Potatoes,"Melt the fat in a non-stick pan, allow it to get nice and hot, then add the bacon. As it begins to brown, add the onion and garlic. Next, add the sliced sprouts or cabbage and let it colour slightly. All this will take 5-6 mins. Next, add the potato. Work everything together in the pan and push it down so that the mixture covers the base of the pan – allow the mixture to catch slightly on the base of the pan before turning it over and doing the same again. It’s the bits of potato that catch in",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/xusqvw1511638311.jpg
Arroz al horno (baked rice),2 tbsp Extra Virgin Olive Oil | 800g Pork belly slices | 150g Black Pudding | 100g Bacon lardon | 1 chopped Onion | 2 Red Pepper | 1 chopped Plum Tomatoes | 8 Garlic Clove | 4 teaspoons Paprika | 1/2 teaspoon Chilli Flakes | 200g Dried white beans | 1 1/2 L Chicken Stock | 6 parts Thyme | 375g Paella Rice | 1 Lemon Juice,"step 1 Heat oven to 200C/180C/gas 6. Heat half the oil in a deep frying or sauté pan (or shallow casserole dish) measuring around 30cm in diameter. Over a high heat, colour the pork belly slices on each side in several batches, then transfer to a bowl. Add the remaining oil to the pan and lower the heat to medium, then add the black pudding and bacon and fry all over for several mins. Remove with a slotted spoon. Fry the onion and peppers for around 10 mins until soft and pale gold, then add th",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/qt4i0n1763256454.jpg
Barbecue pork buns,85g Sugar | 500g White Bread Mix | 1 tablespoon Sunflower Oil | 12 Bacon | Knob Ginger | 2 cloves chopped Garlic | 2 tablespoons Soy Sauce | 3 tablespoons Clear Honey | 3 tablespoons Tomato Puree | 1 beaten Egg,"step 1 Heat the oven to 200C/fan 180C/gas. Mix the sugar into the bread mix in a large bowl, then add water as instructed on the pack. Bring the dough together with a wooden spoon, then knead on a lightly floured surface for 5 mins until smooth. Put into a large bowl, cover with oiled cling film then leave in a warm place until doubled in size. step 2 Meanwhile, heat the oil in a pan, then fry the bacon until crisp, about 5 mins. Add the ginger and garlic and fry for 1 min until soft, then",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/tzsy461763769901.jpg
BBQ Pork Sloppy Joes,2 Potatoes | 1 Red Onions | 2 cloves Garlic | 1 Lime | 2 Bread | 1 lb Pork | Barbeque Sauce | Hotsauce | Tomato Ketchup | Sugar | Vegetable Oil | Salt | Pepper,"1 Preheat oven to 450 degrees. Wash and dry all produce. Cut sweet potatoes into ½-inch-thick wedges. Toss on a baking sheet with a drizzle of oil, salt, and pepper. Roast until browned and tender, 20-25 minutes. 2 Meanwhile, halve and peel onion. Slice as thinly as possible until you have ¼ cup (½ cup for 4 servings); finely chop remaining onion. Peel and finely chop garlic. Halve lime; squeeze juice into a small bowl. Halve buns. Add 1 TBSP butter (2 TBSP for 4) to a separate small mi",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/atd5sh1583188467.jpg
Bigos (Hunters Stew),2 sliced Bacon | 1 lb Kielbasa | 1 lb Pork | 1/4 cup Flour | 3 chopped Garlic | 1 Diced Onion | 1 1/2 cup Mushrooms | 4 cups Cabbage | 1 Jar Sauerkraut | 1/4 cup Red Wine | 1 Bay Leaf | 1 tsp Basil | 1 tsp Marjoram | 1 tbs Paprika | 1/8 teaspoon Caraway Seed | 1 dash Hotsauce | 5 Cups Beef Stock | 2 tbs Tomato Puree | 1 cup Diced Tomatoes | 1 dash Worcestershire Sauce,"Preheat the oven to 350 degrees F (175 degrees C). Heat a large pot over medium heat. Add the bacon and kielbasa; cook and stir until the bacon has rendered its fat and sausage is lightly browned. Use a slotted spoon to remove the meat and transfer to a large casserole or Dutch oven. Coat the cubes of pork lightly with flour and fry them in the bacon drippings over medium-high heat until golden brown. Use a slotted spoon to transfer the pork to the casserole. Add the garlic, onion, carrots",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/md8w601593348504.jpg
Boxty Breakfast,4 large Potatoes | 1 bunch Spring Onions | 100g Plain Flour | 1 Egg White | 150ml Milk | 1 tsp Bicarbonate Of Soda | 3 tbs Butter | 2 tbs Vegetable Oil | 6 Cherry Tomatoes | 12 Bacon | 6 Egg,"STEP 1 Before you start, put your oven on its lowest setting, ready to keep things warm. Peel the potatoes, grate 2 of them, then set aside. Cut the other 2 into large chunks, then boil for 10-15 mins or until tender. Meanwhile, squeeze as much of the liquid from the grated potatoes as you can using a clean tea towel. Mash the boiled potatoes, then mix with the grated potato, spring onions and flour. STEP 2 Whisk the egg white in a large bowl until it holds soft peaks. Fold in the buttermil",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/naqyel1608588563.jpg
Bryndzové Halušky,500g Potatoes | 200g Plain Flour | 1 Egg | 1 teaspoon Salt | 250g Bryndza cheese | 200g Bacon | Garnish Chives,"1. Prepare the Dough Grate the potatoes finely using a hand grater or food processor. Place the grated potatoes in a bowl and mix them with flour, egg, and salt until a sticky dough forms. The consistency should be thick but pliable. 2. Cook the Dumplings Bring a large pot of salted water to a boil. Using a halušky maker (similar to a spaetzle maker), press the dough directly into the boiling water. If you don’t have one, use a tilted cutting board and a knife to scrape small pieces of doug",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/g33c901763365484.jpg
Cassava pizza,6 cut thick slices Casabe | 450g Tomato Sauce | 225g Chorizo | 225g Turkey Ham | 75g Sweetcorn | 40g Green Olives | 55g Paprika | 50g Mozzarella,"Preheat the oven to 200ºC. Cut the bacon or chorizo into medium pieces and the paprika into strips. Spread a little tomato sauce and mozzarella cheese on each portion of cassava. Add the bacon or chorizo, corn, turkey ham, some olives and paprika. Bake for 7 to 10 minutes. Remove from the oven and enjoy.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/lrfdwz1764438393.jpg
